time,map_coverage
1617738836.4949477,39.0
1617738841.4561584,40.75
1617738846.222589,40.75
1617738850.8015158,40.75
1617738855.821479,40.75
1617738860.7171617,40.75
1617738865.834302,40.75
1617738870.8599544,40.75
1617738875.957607,40.75
1617738881.084594,40.75
1617738886.204212,40.75
1617738891.3068075,40.75
1617738896.245308,41.25
1617738901.3178775,41.25
1617738906.4243455,41.25
1617738911.5561173,41.25
1617738916.581998,41.25
1617738921.6742754,41.25
1617738926.8019226,41.25
1617738931.835374,41.25
1617738936.9385443,41.25
1617738941.9972484,41.25
1617738947.2018867,41.25
1617738952.278365,41.25
1617738957.2890751,41.25
1617739013.3477259,42.75
1617739017.9325957,44.0
1617739022.837329,44.0
1617739027.7085502,44.0
1617739032.53153,44.0
1617739037.340294,44.0
1617739042.2576046,44.0
1617739047.3611662,44.0
1617739052.3957841,44.0
1617739057.4142842,44.0
1617739062.346793,44.0
1617739066.9338446,44.0
1617739071.8576474,44.0
1617739076.7724388,44.0
1617739081.7452295,44.0
1617739086.588318,44.0
1617739091.5575805,44.0
1617739096.4709454,44.0
1617739101.4494638,44.0
1617739106.4136014,44.0
1617739111.4452693,44.0
1617739116.4943235,44.0
1617739121.476479,44.0
1617739126.6234457,44.0
1617739131.668928,44.0
1617739188.6006758,46.75
1617739193.2019756,48.0
1617739198.1560278,48.0
1617739203.0231597,48.0
1617739208.0756972,48.0
1617739213.1173787,48.0
1617739218.224724,48.0
1617739223.3736148,48.0
1617739228.4733317,48.0
1617739233.4441683,48.0
1617739238.5543077,48.0
1617739243.6536455,48.0
1617739248.8039682,48.0
1617739253.8184338,48.0
1617739258.879889,48.0
1617739263.9848425,48.0
1617739269.0237317,48.0
1617739273.8907976,48.0
1617739278.925464,48.0
1617739283.9090142,48.0
1617739288.9852915,48.0
1617739294.0898983,48.0
1617739299.0779471,48.0
1617739304.0517688,48.0
1617739309.0986688,48.0
1617739366.8032603,49.25
1617739371.6421738,49.5
1617739376.6977026,49.5
1617739381.7301931,49.5
1617739386.8035498,49.5
1617739391.8855243,49.5
1617739397.0304897,49.5
1617739402.2076664,49.5
1617739407.3172946,49.5
1617739412.3771455,49.5
1617739417.456972,49.5
1617739422.5061097,49.5
1617739427.3424613,49.5
1617739431.9660063,49.5
1617739436.7406347,49.5
1617739441.937218,49.5
1617739447.0406704,49.5
1617739452.3227139,49.5
1617739457.3375545,49.5
1617739462.130061,49.5
1617739467.376917,49.5
1617739472.0990555,49.5
1617739477.216502,49.75
1617739482.5351677,49.75
1617739487.3580287,49.75
1617739542.2310386,50.0
1617739547.2996125,50.74999999999999
1617739552.2806127,50.74999999999999
1617739557.1780965,50.74999999999999
1617739562.233235,50.74999999999999
1617739567.5762873,50.74999999999999
1617739572.9770935,50.74999999999999
1617739577.9711213,50.74999999999999
1617739583.2975492,50.74999999999999
1617739588.3317325,50.74999999999999
1617739593.7118595,50.74999999999999
1617739599.1852555,50.74999999999999
1617739604.3367453,50.74999999999999
1617739609.344206,50.74999999999999
1617739614.347518,50.74999999999999
1617739619.4668312,50.74999999999999
1617739624.4308808,50.74999999999999
1617739629.25636,50.74999999999999
1617739634.2558444,50.74999999999999
1617739639.7309496,50.74999999999999
1617739645.0247655,50.74999999999999
1617739650.2046478,50.74999999999999
1617739655.513372,50.74999999999999
1617739660.7366872,50.74999999999999
1617739665.5940828,50.74999999999999
1617739723.7460184,50.74999999999999
1617739728.7179215,50.74999999999999
1617739733.7305021,50.74999999999999
1617739738.7419512,50.74999999999999
1617739743.506859,50.74999999999999
1617739748.5238342,50.74999999999999
1617739753.4103267,50.74999999999999
1617739758.2777028,50.74999999999999
1617739763.261351,50.74999999999999
1617739768.2476237,50.74999999999999
1617739773.3562882,50.74999999999999
1617739778.5844798,50.74999999999999
1617739783.7361894,50.74999999999999
1617739788.935054,51.0
1617739794.1002486,51.0
1617739799.116505,51.0
1617739804.4317794,51.0
1617739809.56264,51.0
1617739814.7473667,51.0
1617739820.0070577,51.0
1617739825.124273,51.0
1617739830.3164756,51.0
1617739835.5099642,51.0
1617739840.7294292,51.0
1617739845.8680217,51.0
1617739902.7220466,51.5
1617739907.3870757,53.25
1617739912.2257087,53.25
1617739917.3320851,53.25
1617739922.3324885,53.25
1617739927.4305358,53.25
1617739932.7871578,53.25
1617739937.7700298,53.25
1617739942.8302526,53.25
1617739948.1224842,53.25
1617739952.9134943,53.25
1617739957.9254375,53.25
1617739963.0067065,53.25
1617739967.7365236,53.25
1617739973.1233244,53.25
1617739978.4417045,53.25
1617739983.8684177,53.25
1617739988.905476,53.25
1617739994.0439281,53.25
1617739999.1181161,53.25
1617740004.3298187,53.25
1617740009.4138148,53.25
1617740014.5976539,53.25
1617740019.7157154,53.25
1617740024.6811965,53.25
1617740080.6865566,53.25
1617740086.0045824,53.75
1617740091.2532883,53.75
1617740096.2816987,53.75
1617740101.3101542,53.75
1617740106.2504392,53.75
1617740111.184292,53.75
1617740116.422014,53.75
1617740121.7399733,53.75
1617740126.536094,53.75
1617740131.5187762,53.75
1617740136.8955328,53.75
1617740141.857545,53.75
1617740146.883201,53.75
1617740152.1548653,53.75
1617740157.3219526,53.75
1617740162.4092982,53.75
1617740167.334595,53.75
1617740172.3606393,53.75
1617740177.3572092,53.75
1617740182.4323893,53.75
1617740187.4252937,53.75
1617740192.430161,53.75
1617740197.6316843,53.75
1617740202.722263,53.75
1617740260.7523658,54.25
1617740265.8229115,54.25
1617740270.8376877,54.25
1617740276.0294333,54.25
1617740281.1934881,54.25
1617740286.4112773,54.25
1617740291.6243477,54.25
1617740296.5614955,54.25
1617740301.382806,54.25
1617740306.5258796,54.25
1617740311.589562,54.25
1617740316.6433296,54.25
1617740322.0216372,54.25
1617740327.422624,54.25
1617740332.7706218,54.25
1617740337.6789293,54.25
1617740342.8147264,54.25
1617740348.2363806,54.25
1617740353.5015032,54.25
1617740358.7314122,54.25
1617740363.7792041,54.25
1617740368.8710928,54.25
1617740374.142595,54.25
1617740379.033298,54.25
1617740384.2902331,54.25
